taxonID	acceptedNameUsageID	taxonomicStatus	family	genus	specificEpithet	infraspecificEpithet	scientificName	taxonRank	scientificNameAuthorship	nameAccordingTo	nameAccordingToID	scientificNameID	namePublishedIn	references
kew-331386	kew-21505	synonym	Betulaceae	Chamaebetula	nana		Chamaebetula nana	species	(L.) Opiz	WCSP	331386	urn:lsid:ipni.org:names:295430-1		
kew-331387	kew-21671	synonym	Betulaceae	Chamaebetula	pumila		Chamaebetula pumila	species	(L.) Opiz	WCSP	331387	urn:lsid:ipni.org:names:295431-1		
kew-331388	kew-21520	synonym	Betulaceae	Chamaebetula	rotundifolia		Chamaebetula rotundifolia	species	(Spach) Opiz	WCSP	331388	urn:lsid:ipni.org:names:295432-1		
kew-404349	kew-403296	synonym	Poaceae	Chamaecalamus	spectabilis		Chamaecalamus spectabilis	species	Meyen	WCSP	404349	urn:lsid:ipni.org:names:395596-1		
kew-2714603	kew-2336903	synonym	Cactaceae	Chamaecereus	grandiflorus		Chamaecereus grandiflorus	species	(Britton & Rose) Frič	WCSP (in review)		urn:lsid:ipni.org:names:130842-1		
kew-2714604	kew-2783338	synonym	Cactaceae	Chamaecereus	silvestrii		Chamaecereus silvestrii	species	(Speg.) Britton & Rose	WCSP (in review)		urn:lsid:ipni.org:names:130843-1		
kew-37443	kew-90109	synonym	Lamiaceae	Chamaecissos	hederaceus		Chamaecissos hederaceus	species	(L.) Nieuwl. & Lunell	WCSP	37443	urn:lsid:ipni.org:names:54309-2	Lunell J (1916) Enumerantur Plantae Dakotae Septentrionalis Vasculares/The Vascular Plants of North Dakota. IX. American Midland Naturalist 4(12): 503. doi: 10.2307/2993044.	http://doi.org/10.2307/2993044
kew-2714607	kew-2427321	synonym	Ericaceae	Chamaecistus	austriacus		Chamaecistus austriacus	species	Regel	WCSP (in review)		urn:lsid:ipni.org:names:327536-1		
kew-2714608	tro-50108303	synonym	Ericaceae	Chamaecistus	kamtschaticus		Chamaecistus kamtschaticus	species	Regel	WCSP (in review)		urn:lsid:ipni.org:names:327537-1		
kew-2714609	kew-2337993	synonym	Ericaceae	Chamaecistus	procumbens		Chamaecistus procumbens	species	(L.) Kuntze	WCSP (in review)		urn:lsid:ipni.org:names:327538-1		
kew-2714610	kew-2337993	synonym	Ericaceae	Chamaecistus	serpyllifolius		Chamaecistus serpyllifolius	species	Gray	WCSP (in review)		urn:lsid:ipni.org:names:327539-1		
kew-37445	kew-99972	synonym	Araceae	Chamaecladon	angustifolium		Chamaecladon angustifolium	species	(Jack) Schott	WCSP	37445	urn:lsid:ipni.org:names:86554-1		
kew-37446	kew-99919	synonym	Araceae	Chamaecladon	consobrinum		Chamaecladon consobrinum	species	Schott	WCSP	37446	urn:lsid:ipni.org:names:86555-1		
kew-37447	kew-99949	synonym	Araceae	Chamaecladon	griffithii		Chamaecladon griffithii	species	Schott	WCSP	37447	urn:lsid:ipni.org:names:86556-1		
kew-37448	kew-99967	synonym	Araceae	Chamaecladon	humile		Chamaecladon humile	species	(Jack) Miq.	WCSP	37448	urn:lsid:ipni.org:names:86557-1		
kew-37449	kew-99969	synonym	Araceae	Chamaecladon	lanceolatum		Chamaecladon lanceolatum	species	Miq.	WCSP	37449	urn:lsid:ipni.org:names:86558-1		
kew-37450	kew-100004	synonym	Araceae	Chamaecladon	metallicum		Chamaecladon metallicum	species	N.E.Br.	WCSP	37450	urn:lsid:ipni.org:names:86559-1		
kew-37451	kew-100016	synonym	Araceae	Chamaecladon	nigrescens		Chamaecladon nigrescens	species	Schott	WCSP	37451	urn:lsid:ipni.org:names:86560-1		
kew-37452	kew-99949	synonym	Araceae	Chamaecladon	obliquatum		Chamaecladon obliquatum	species	Schott	WCSP	37452	urn:lsid:ipni.org:names:86561-1		
kew-37453	kew-100024	synonym	Araceae	Chamaecladon	ovalifolium		Chamaecladon ovalifolium	species	Schott	WCSP	37453	urn:lsid:ipni.org:names:86562-1		
kew-37454	kew-99949	synonym	Araceae	Chamaecladon	ovatum		Chamaecladon ovatum	species	Schott	WCSP	37454	urn:lsid:ipni.org:names:86563-1		
