OriginalID,Rank,Family,Genus,Species,
3,Family,Myrtaceae,,,
4,Genus,Myrtaceae,Eucalyptus,,
5,Species,Myrtaceae,Eucalyptus,camaldulensis,
6,Family,Acanthaceae,,,
7,Genus,Acanthaceae,Blepharis,,
8,Species,Acanthaceae,Blepharis,subvolubilis,
13,Genus,Leguminosae,Brachystegia,,
14,Species,Leguminosae,Brachystegia,boehmii,
15,Family,Combretaceae,,,
16,Genus,Combretaceae,Combretum,,
17,Species,Combretaceae,Combretum,apiculatum,
18,Family,Sapindaceae,,,
19,Genus,Sapindaceae,Acer,,
20,Species,Sapindaceae,Acer,saccharinum,
21,Family,Betulaceae,,,
22,Genus,Betulaceae,Alnus,,
23,Species,Betulaceae,Alnus,jorullensis,
24,Family,Anacardiaceae,,,
25,Genus,Anacardiaceae,Schinus,,
26,Species,Anacardiaceae,Schinus,pearcei,
27,Family,Apocynaceae,,,
28,Genus,Apocynaceae,Cynanchum,,
29,Species,Apocynaceae,Cynanchum,tarmense,
30,Family,Begoniaceae,,,
31,Genus,Begoniaceae,Begonia,,
32,Family,Berberidaceae,,,
33,Genus,Berberidaceae,Berberis,,
34,Species,Berberidaceae,Berberis,darwinii,
35,Genus,Betulaceae,Betula,,
36,Species,Betulaceae,Betula,glandulosa,
37,Family,Bignoniaceae,,,
38,Genus,Bignoniaceae,Tecoma,,
39,Species,Bignoniaceae,Tecoma,sambucifolia,
41,Genus,Scrophulariaceae,Buddleja,,
42,Species,Scrophulariaceae,Buddleja,incana,
43,Family,Basellaceae,,,
44,Genus,Basellaceae,Ullucus,,
45,Species,Basellaceae,Ullucus,tuberosus,
46,Family,Simmondsiaceae,,,
47,Genus,Simmondsiaceae,Simmondsia,,
48,Species,Simmondsiaceae,Simmondsia,chinensis,
49,Family,Cactaceae,,,
50,Genus,Cactaceae,Opuntia,,
51,Family,Campanulaceae,,,
54,Family,Caryophyllaceae,,,
55,Genus,Caryophyllaceae,Arenaria,,
56,Species,Caryophyllaceae,Arenaria,groenlandica,
58,Genus,Amaranthaceae,Nitrophila,,
59,Species,Amaranthaceae,Nitrophila,australis,
60,Family,Brassicaceae,,,
61,Genus,Brassicaceae,Draba,,
62,Species,Brassicaceae,Draba,breweri,
63,Genus,Compositae,Chiliotrichum,,
64,Species,Compositae,Chiliotrichum,diffusum,
66,Genus,Compositae,Iva,,
67,Species,Compositae,Iva,frutescens,
68,Genus,Compositae,Ambrosia,,
69,Species,Compositae,Ambrosia,arborescens,
70,Family,Cunoniaceae,,,
74,Family,Compositae,,,
75,Genus,Compositae,Mutisia,,
76,Family,Lycopodiaceae,,,
77,Genus,Lycopodiaceae,Huperzia,,
78,Species,Lycopodiaceae,Huperzia,selago,
79,Genus,Lycopodiaceae,Lycopodium,,
80,Species,Lycopodiaceae,Lycopodium,annotinum,
84,Family,Equisetaceae,,,
85,Genus,Equisetaceae,Equisetum,,
86,Species,Equisetaceae,Equisetum,fluviatile,
87,Species,Equisetaceae,Equisetum,sylvaticum,
88,Species,Equisetaceae,Equisetum,palustre,
89,Family,Ophioglossaceae,,,
90,Genus,Ophioglossaceae,Ophioglossum,,
91,Species,Ophioglossaceae,Ophioglossum,vulgatum,
92,Genus,Ophioglossaceae,Botrychium,,
93,Species,Ophioglossaceae,Botrychium,lunaria,
94,Family,Pteridaceae,,,
95,Genus,Pteridaceae,Adiantum,,
97,Genus,Pteridaceae,Cryptogramma,,
98,Species,Pteridaceae,Cryptogramma,crispa,
100,Genus,Pteridaceae,Anogramma,,
101,Species,Pteridaceae,Anogramma,leptophylla,
102,Family,Dicksoniaceae,,,
103,Genus,Dicksoniaceae,Dicksonia,,
104,Family,Dennstaedtiaceae,,,
105,Genus,Dennstaedtiaceae,Pteridium,,
106,Species,Dennstaedtiaceae,Pteridium,aquilinum,
107,Family,Thelypteridaceae,,,
108,Genus,Thelypteridaceae,Thelypteris,,
109,Species,Thelypteridaceae,Thelypteris,limbosperma,
110,Species,Thelypteridaceae,Thelypteris,phegopteris,
112,Family,Aspleniaceae,,,
113,Genus,Aspleniaceae,Asplenium,,
114,Family,Pinaceae,,,
115,Genus,Pinaceae,Pinus,,
116,Species,Pinaceae,Pinus,cembra,
117,Species,Pinaceae,Pinus,sylvestris,
118,Species,Pinaceae,Pinus,pinaster,
119,Species,Pinaceae,Pinus,mugo,
121,Species,Pinaceae,Pinus,peuce,
122,Species,Pinaceae,Pinus,nigra,
123,Family,Cupressaceae,,,
124,Genus,Cupressaceae,Juniperus,,
125,Species,Cupressaceae,Juniperus,oxycedrus,
126,Species,Cupressaceae,Juniperus,communis,
127,Family,Taxaceae,,,
128,Genus,Taxaceae,Taxus,,
129,Species,Taxaceae,Taxus,baccata,
130,Family,Ephedraceae,,,
131,Genus,Ephedraceae,Ephedra,,
132,Species,Ephedraceae,Ephedra,alte,
133,Species,Ephedraceae,Ephedra,major,
134,Family,Salicaceae,,,
135,Genus,Salicaceae,Salix,,
136,Species,Salicaceae,Salix,alba,
137,Species,Salicaceae,Salix,aurita,
138,Species,Salicaceae,Salix,triandra,
139,Species,Salicaceae,Salix,reticulata,
140,Genus,Salicaceae,Populus,,
141,Species,Salicaceae,Populus,tremula,
142,Genus,Cactaceae,Schlumbergera,,
143,Family,Malvaceae,,,
144,Genus,Malvaceae,Hibiscus,,
145,Species,Malvaceae,Hibiscus,moscheutos,
146,Species,Salicaceae,Salix,herbacea,
147,Species,Salicaceae,Salix,caprea,
148,Family,Juglandaceae,,,
149,Genus,Juglandaceae,Juglans,,
150,Species,Juglandaceae,Juglans,regia,
151,Species,Salicaceae,Salix,repens,
152,Species,Salicaceae,Salix,pentandra,
153,Species,Salicaceae,Salix,viminalis,
154,Species,Salicaceae,Salix,purpurea,
155,Family,Myricaceae,,,
156,Genus,Myricaceae,Myrica,,
157,Species,Myricaceae,Myrica,gale,
158,Species,Salicaceae,Populus,nigra,
159,Genus,Juglandaceae,Carya,,
160,Species,Juglandaceae,Carya,alba,
161,Genus,Juglandaceae,Pterocarya,,
162,Species,Juglandaceae,Pterocarya,fraxinifolia,
163,Species,Betulaceae,Alnus,rugosa,
164,Species,Betulaceae,Alnus,viridis,
165,Species,Betulaceae,Alnus,incana,
166,Genus,Betulaceae,Carpinus,,
167,Species,Betulaceae,Carpinus,betulus,
168,Species,Betulaceae,Alnus,glutinosa,
